1 2 3 4 5 6 7 8
version_number compiler build MESA_SDK_version math_backend date burn_min1 burn_min2
"12778" "gfortran" "9.2.0" "x86_64-linux-20.3.2" "CRMATH" "20240325" 5.0000000000000000E+001 1.0000000000000000E+003

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
model_number star_age star_mass log_L log_R log_Teff log_center_T log_center_Rho log_center_P center_h1 center_he3 center_he4 center_c12 center_n14 center_o16 center_ne20 center_mg24 center_si28 center_s32 center_ar36 center_ca40 center_ti44 center_cr48 center_fe52 center_fe54 center_fe56 center_ni56 center_degeneracy center_ye center_entropy compactness_parameter dynamic_timescale kh_timescale nuc_timescale pp cno tri_alfa log_LH log_LHe log_LZ log_Lneu he_core_mass c_core_mass o_core_mass si_core_mass fe_core_mass he_core_radius c_core_radius o_core_radius si_core_radius fe_core_radius max_abs_v_velocity surf_avg_omega_div_omega_crit log_total_angular_momentum surf_avg_omega surf_avg_v_rot star_mdot
1 1.0000000000000001E-005 2.9999999999999421E+001 4.9133466149603269E+000 2.7263137875537864E+000 3.6268091781895020E+000 5.4787994666238147E+000 -5.7574669085902332E+000 7.9757858321286577E+000 7.5970000000000004E-001 2.5562114240441058E-005 2.4017443788575957E-001 2.0596951064740936E-005 6.0335156651373535E-006 5.6019382083326431E-005 1.2564618982421068E-005 4.7855322043631998E-006 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.3673992467330779E+001 8.7985426035237346E-001 3.8190532355362137E+001 2.7023576416335926E-005 2.2461751874870058E+007 4.8435261175658712E+002 3.6624747543819547E+006 -2.1681441322167707E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1681441322167707E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3079309489983544E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.8153583193505896E-008
2 2.2000000000000003E-005 2.9999999999998721E+001 4.9133685705890100E+000 2.7263157137196066E+000 3.6268137040137627E+000 5.4787975766992911E+000 -5.7574625267066724E+000 7.9757861175356970E+000 7.5970000000000004E-001 2.5562114240441058E-005 2.4017443788575957E-001 2.0596951064740936E-005 6.0335156651373535E-006 5.6019382083326431E-005 1.2564618982421068E-005 4.7855322043631998E-006 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.3673975646334693E+001 8.7985426035237346E-001 3.8190460230441261E+001 2.7023580207900671E-005 2.2461901307586286E+007 4.8432597800460746E+002 3.6622896037374269E+006 -2.1681440294985915E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1681440294985915E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3079308462801752E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.8156617491138273E-008
3 3.6400000000000004E-005 2.9999999999997883E+001 4.9133908234848596E+000 2.7263178877271907E+000 3.6268181802339328E+000 5.4787957223249251E+000 -5.7574569604131485E+000 7.9757873863970792E+000 7.5970000000000004E-001 2.5562114240441055E-005 2.4017443788575957E-001 2.0596951064740936E-005 6.0335156651373535E-006 5.6019382083326424E-005 1.2564618982421070E-005 4.7855322043631998E-006 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.3673956181277008E+001 8.7985426035237324E-001 3.8190378906528416E+001 2.7023597892228289E-005 2.2462069969160132E+007 4.8429873784453036E+002 3.6621019558056835E+006 -2.1681433825664289E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1681433825664289E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3079301993480126E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.8159815603558227E-008
4 5.3680000000000001E-005 2.9999999999996874E+001 4.9134129999920733E+000 2.7263205118879617E+000 3.6268224122803505E+000 5.4787933765355810E+000 -5.7574513939415466E+000 7.9757878403827407E+000 7.5970000000000004E-001 2.5562114240441061E-005 2.4017443788575957E-001 2.0596951064740936E-005 6.0335156651373535E-006 5.6019382083326431E-005 1.2564618982421070E-005 4.7855322043631998E-006 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.3673935004320116E+001 8.7985426035237324E-001 3.8190288323663367E+001 2.7023604015712828E-005 2.2462273555732839E+007 4.8427108244070297E+002 3.6619149615876609E+006 -2.1681432079509829E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1681432079509829E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3079300247325666E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.8163086895764014E-008
5 7.4416000000000000E-005 2.9999999999995669E+001 4.9134344348288144E+000 2.7263235812951216E+000 3.6268262362859560E+000 5.4787908117145410E+000 -5.7574452163488701E+000 7.9757884081428134E+000 7.5970000000000004E-001 2.5562114240441058E-005 2.4017443788575954E-001 2.0596951064740936E-005 6.0335156651373535E-006 5.6019382083326431E-005 1.2564618982421070E-005 4.7855322043631998E-006 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.3673911636304124E+001 8.7985426035237346E-001 3.8190188523355609E+001 2.7023611726854964E-005 2.2462511687571097E+007 4.8424375913253698E+002 3.6617342302735234E+006 -2.1681429837641790E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1681429837641790E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3079298005457627E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.8166408431394168E-008
6 9.9299199999999986E-005 2.9999999999994223E+001 4.9134548461113345E+000 2.7263271861750349E+000 3.6268295366666292E+000 5.4787880482580134E+000 -5.7574384420617459E+000 7.9757891122657911E+000 7.5970000000000004E-001 2.5562114240441058E-005 2.4017443788575957E-001 2.0596951064740936E-005 6.0335156651373535E-006 5.6019382083326438E-005 1.2564618982421071E-005 4.7855322043631998E-006 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.3673886181911508E+001 8.7985426035237324E-001 3.8190080010609130E+001 2.7023621351928140E-005 2.2462791365870520E+007 4.8421698155250539E+002 3.6615621375144669E+006 -2.1681426996790758E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1681426996790758E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3079295164606592E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.8169690453457167E-008
7 1.2915903999999998E-004 2.9999999999992482E+001 4.9134745626922527E+000 2.7263314473523890E+000 3.6268323352231819E+000 5.4787851191533781E+000 -5.7574311109862402E+000 7.9757899763355571E+000 7.5970000000000004E-001 2.5562114240441058E-005 2.4017443788575957E-001 2.0596951064740936E-005 6.0335156651373526E-006 5.6019382083326431E-005 1.2564618982421071E-005 4.7855322043631998E-006 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.3673858849216664E+001 8.7985426035237324E-001 3.8189963739945064E+001 2.7023633235189648E-005 2.2463121966349356E+007 4.8419024826958679E+002 3.6613959096425083E+006 -2.1681423451660137E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1681423451660137E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3079291619475971E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.8172907283100812E-008
8 1.6499084799999998E-004 2.9999999999990397E+001 4.9134949936187269E+000 2.7263365285528813E+000 3.6268349023545547E+000 5.4787820702428300E+000 -5.7574232910793510E+000 7.9757910233589797E+000 7.5970000000000004E-001 2.5562114240441058E-005 2.4017443788575954E-001 2.0596951064740936E-005 6.0335156651373535E-006 5.6019382083326431E-005 1.2564618982421070E-005 4.7855322043631998E-006 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.3673829956620422E+001 8.7985426035237346E-001 3.8189841141730376E+001 2.7023647717840926E-005 2.2463516194112808E+007 4.8416180590889115E+002 3.6612236671796250E+006 -2.1681419104269555E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1681419104269555E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3079287272085388E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.8176119146190726E-008
9 2.0798901759999997E-004 2.9999999999987892E+001 4.9135192058533681E+000 2.7263426513665161E+000 3.6268378940063974E+000 5.4787789591437077E+000 -5.7574150785802720E+000 7.9757922737919991E+000 7.5970000000000004E-001 2.5562114240441061E-005 2.4017443788575954E-001 2.0596951064740936E-005 6.0335156651373543E-006 5.6019382083326424E-005 1.2564618982421071E-005 4.7855322043631998E-006 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.3673799929638372E+001 8.7985426035237324E-001 3.8189714103691550E+001 2.7023665111637422E-005 2.2463991245202195E+007 4.8412798885738351E+002 3.6610195569748525E+006 -2.1681413875597574E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1681413875597574E+001 -9.8999999999999986E+001 -3.7628749457997642E+001 -2.3079282043413404E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.8179536735398346E-008
